data_autuacao	cod_disciplina_ufabc_edit	disciplina_ufabc_edit	ch_disciplina_ufabc_edit	disciplina_fora	disciplina 1	disciplina 2	disciplina 3	disciplina 4	disciplina 5	disciplina 6	disciplina 7	disciplina 8	disciplina 9	Parecer
2024.3	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	XXXX/CALCULO II/80H/2014/CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO	XXXX/CALCULO II/80H/2014/CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO									Deferido
2024.3	BCN0407-15	FUNÇÕES DE VÁRIAS VARIÁVEIS	48h	XXXX/CALCULO III/80H/2015/CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO	XXXX/CALCULO III/80H/2015/CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO									deferido
2024.3	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	XXXX/ESTATÍSTICA E PROBABILIDADE/80H/2015/CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO	XXXX/ESTATÍSTICA E PROBABILIDADE/80H/2015/CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO									Indeferido
2024.3	BCL0306-15	BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE	36h	8160/FUNDAMENTOS DA BIOLOGIA CELULAR E MOLECULAR/72H/2022.1/UNIVERSIDADE FEDERAL DE SÃO PAULO	8160/FUNDAMENTOS DA BIOLOGIA CELULAR E MOLECULAR/72H/2022.1/UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.3	BIK0102-15	ESTRUTURA DA MATÉRIA	36h	8158/ATOMOS E MOLECULAS/72h/2022.1/UNIVERSIDADE FEDERAL DE SÃO PAULO	8158/ATOMOS E MOLECULAS/72h/2022.1/UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.3	BIL0304-15	EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36h	8160/FUNDAMENTOS DA BIOLOGIA CELULAR E MOLECULAR/72H/2022.1/UNIVERSIDADE FEDERAL DE SÃO PAULO	8160/FUNDAMENTOS DA BIOLOGIA CELULAR E MOLECULAR/72H/2022.1/UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.3	BCJ0204-15	FENÔMENOS MECÂNICOS	60h	8161/MOVIMENTOS E INTERAÇÕES/72H/2022.2/UNIVERSIDADE FEDERAL DE SÃO PAULO	8161/MOVIMENTOS E INTERAÇÕES/72H/2022.2/UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.3	BCJ0205-15	FENÔMENOS TÉRMICOS	48h	8167/ENERGIA/72H/2023.1/UNIVERSIDADE FEDERAL DE SÃO PAULO	8167/ENERGIA/72H/2023.1/UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.3	ESZG013-17	EMPREENDEDORISMO	48h	J581 / Planejamento Estratégico / 60H / 2019.2 / UNIVERSIDADE PAULISTA	J581 / Planejamento Estratégico / 60H / 2019.2 / UNIVERSIDADE PAULISTA									Indeferido
2024.3	ESTI004-17	PRINCÍPIOS DE COMUNICAÇÃO	48h	155H / Teorias e Técnicas da Comunicação / 60H / 2019.2 / UNIVERSIDADE PAULISTA	155H / Teorias e Técnicas da Comunicação / 60H / 2019.2 / UNIVERSIDADE PAULISTA									Indeferido
